No_followers,engagment_rate_avg,Selected,IG_id,Category_name,Locations,Cluster,Selected (1)
continuous,discrete,discrete,string,string,string,discrete,discrete
3500.0,Riyadh,Yes,@fatmahbeauty,"""'makeup'","lifestyle""",C1,No
3100.0,5.12,Yes,@rasign,design,Riyadh,C1,No
9900.0,4.43,Yes,@the_bisht,busi,Riyadh,C1,No
2300.0,5.12,Yes,@rossopomodorosa,food,Jeddah,C1,No
3700.0,5.12,Yes,@abdullah_alsam,scienc,Riyadh,C1,No
3100.0,5.12,Yes,@sultan__mb,photograph,Riyadh,C1,No
1100.0,5.12,Yes,@shaddahstudio,design,Riyadh,C1,No
7300.0,4.43,Yes,@xinonix,busi,Riyadh,C1,No
3100.0,5.12,Yes,@luhan.bb,exo,Riyadh,C1,No
9900.0,4.43,Yes,@awn.121,mother,Sharjah,C1,No
8200.0,4.43,Yes,@yd__7,lifestyle,Riyadh,C1,No
609000.0,5.12,Yes,@_samibrahim,photograph,Riyadh,C2,No
5500.0,4.43,Yes,@ameen.nassif,Blogger,Riyadh,C1,No
2600.0,5.12,Yes,@deema_fahad9,food,Irvine,C1,No
2500.0,5.12,Yes,@shougtaleb,lifestyle,Riyadh,C1,No
2200.0,5.12,Yes,@aboody_swagholic,C,Jeddah,C1,No
2400.0,Riyadh,Yes,@ammar3394,"""'secur'","inform""",C1,No
3900.0,5.12,Yes,@tweety_96_,nurs,Auckland,C1,No
6700.0,4.43,Yes,@henich1,samsung,Riyadh,C1,No
2000.0,5.12,Yes,@shf_24,footbal,Riyadh,C1,No
8300.0,Riyadh,Yes,@ahmedamer_official,"""'instagram'","lifestyle""",C1,No
3800.0,5.12,Yes,@makeupbyshahd,makeup,Riyadh,C1,No
5300.0,4.43,Yes,@themakeupset,makeup,Dubai,C1,No
5300.0,4.43,Yes,@food_and_coffee,coffe,Riyadh,C1,No
7900.0,4.43,Yes,@d.r_18,lifestyle,Riyadh,C1,No
9900.0,4.43,Yes,@the_bisht,busi,Riyadh,C1,No
2700.0,5.12,Yes,@ishosho_m,model,Riyadh,C1,No
3100.0,5.12,Yes,@hibadandachlihariri,fashion,Sharjah,C1,No
2800.0,5.12,Yes,@mostafa989,food,Aqaba,C1,No
